"age_group","year","birth_order","births"
"<15",2016,"1",3
"<15",2016,"2",0
"<15",2016,"3",0
"<15",2016,"4",0
"<15",2016,"5",0
"<15",2016,"6",0
"<15",2016,NA,0
"<15",2016,"Not Stated",0
"15-19",2016,"1",188
"15-19",2016,"2",13
"15-19",2016,"3",1
"15-19",2016,"4",0
"15-19",2016,"5",0
"15-19",2016,"6",0
"15-19",2016,NA,0
"15-19",2016,"Not Stated",4
"20-24",2016,"1",250
"20-24",2016,"2",123
"20-24",2016,"3",33
"20-24",2016,"4",3
"20-24",2016,"5",1
"20-24",2016,"6",0
"20-24",2016,NA,0
"20-24",2016,"Not Stated",7
"25-29",2016,"1",153
"25-29",2016,"2",167
"25-29",2016,"3",70
"25-29",2016,"4",11
"25-29",2016,"5",4
"25-29",2016,"6",0
"25-29",2016,NA,0
"25-29",2016,"Not Stated",5
"30-34",2016,"1",80
"30-34",2016,"2",131
"30-34",2016,"3",56
"30-34",2016,"4",37
"30-34",2016,"5",8
"30-34",2016,"6",5
"30-34",2016,NA,0
"30-34",2016,"Not Stated",6
"35-39",2016,"1",22
"35-39",2016,"2",79
"35-39",2016,"3",65
"35-39",2016,"4",25
"35-39",2016,"5",8
"35-39",2016,"6",6
"35-39",2016,NA,2
"35-39",2016,"Not Stated",6
"40-44",2016,"1",8
"40-44",2016,"2",11
"40-44",2016,"3",23
"40-44",2016,"4",15
"40-44",2016,"5",9
"40-44",2016,"6",2
"40-44",2016,NA,3
"40-44",2016,"Not Stated",1
"45+",2016,"1",0
"45+",2016,"2",0
"45+",2016,"3",1
"45+",2016,"4",0
"45+",2016,"5",0
"45+",2016,"6",0
"45+",2016,NA,0
"45+",2016,"Not Stated",0
"<15",2018,"1",5
"<15",2018,"2",0
"<15",2018,"3",0
"<15",2018,"4",0
"<15",2018,"5",0
"<15",2018,"6",0
"<15",2018,NA,NA
"<15",2018,"Not Stated",0
"15-19",2018,"1",190
"15-19",2018,"2",22
"15-19",2018,"3",0
"15-19",2018,"4",0
"15-19",2018,"5",0
"15-19",2018,"6",0
"15-19",2018,NA,NA
"15-19",2018,"Not Stated",0
"20-24",2018,"1",231
"20-24",2018,"2",141
"20-24",2018,"3",37
"20-24",2018,"4",3
"20-24",2018,"5",0
"20-24",2018,"6",0
"20-24",2018,NA,NA
"20-24",2018,"Not Stated",0
"25-29",2018,"1",153
"25-29",2018,"2",155
"25-29",2018,"3",64
"25-29",2018,"4",26
"25-29",2018,"5",5
"25-29",2018,"6",0
"25-29",2018,NA,1
"25-29",2018,"Not Stated",0
"30-34",2018,"1",64
"30-34",2018,"2",114
"30-34",2018,"3",88
"30-34",2018,"4",31
"30-34",2018,"5",19
"30-34",2018,"6",5
"30-34",2018,NA,1
"30-34",2018,"Not Stated",0
"35-39",2018,"1",27
"35-39",2018,"2",71
"35-39",2018,"3",66
"35-39",2018,"4",20
"35-39",2018,"5",11
"35-39",2018,"6",9
"35-39",2018,NA,2
"35-39",2018,"Not Stated",0
"40-44",2018,"1",5
"40-44",2018,"2",23
"40-44",2018,"3",29
"40-44",2018,"4",18
"40-44",2018,"5",5
"40-44",2018,"6",4
"40-44",2018,NA,3
"40-44",2018,"Not Stated",0
"45+",2018,"1",0
"45+",2018,"2",0
"45+",2018,"3",1
"45+",2018,"4",0
"45+",2018,"5",1
"45+",2018,"6",0
"45+",2018,NA,0
"45+",2018,"Not Stated",0
"<15",2017,"1",2
"<15",2017,"2",0
"<15",2017,"3",1
"<15",2017,"4",0
"<15",2017,"5",0
"<15",2017,"6",0
"<15",2017,NA,0
"<15",2017,"Not Stated",0
"15-19",2017,"1",179
"15-19",2017,"2",22
"15-19",2017,"3",0
"15-19",2017,"4",0
"15-19",2017,"5",0
"15-19",2017,"6",0
"15-19",2017,NA,0
"15-19",2017,"Not Stated",0
"20-24",2017,"1",255
"20-24",2017,"2",149
"20-24",2017,"3",48
"20-24",2017,"4",5
"20-24",2017,"5",1
"20-24",2017,"6",0
"20-24",2017,NA,0
"20-24",2017,"Not Stated",0
"25-29",2017,"1",143
"25-29",2017,"2",167
"25-29",2017,"3",88
"25-29",2017,"4",23
"25-29",2017,"5",5
"25-29",2017,"6",3
"25-29",2017,NA,0
"25-29",2017,"Not Stated",0
"30-34",2017,"1",61
"30-34",2017,"2",146
"30-34",2017,"3",62
"30-34",2017,"4",27
"30-34",2017,"5",13
"30-34",2017,"6",5
"30-34",2017,NA,2
"30-34",2017,"Not Stated",0
"35-39",2017,"1",18
"35-39",2017,"2",77
"35-39",2017,"3",55
"35-39",2017,"4",24
"35-39",2017,"5",6
"35-39",2017,"6",5
"35-39",2017,NA,5
"35-39",2017,"Not Stated",0
"40-44",2017,"1",3
"40-44",2017,"2",10
"40-44",2017,"3",16
"40-44",2017,"4",16
"40-44",2017,"5",4
"40-44",2017,"6",0
"40-44",2017,NA,2
"40-44",2017,"Not Stated",0
"45+",2017,"1",1
"45+",2017,"2",0
"45+",2017,"3",1
"45+",2017,"4",0
"45+",2017,"5",0
"45+",2017,"6",0
"45+",2017,NA,1
"45+",2017,"Not Stated",0
"<15",2019,"1",9
"<15",2019,"2",0
"<15",2019,"3",0
"<15",2019,"4",0
"<15",2019,"5",0
"<15",2019,"6",0
"<15",2019,NA,0
"<15",2019,"Not Stated",0
"15‐19",2019,"1",203
"15‐19",2019,"2",24
"15‐19",2019,"3",1
"15‐19",2019,"4",0
"15‐19",2019,"5",0
"15‐19",2019,"6",0
"15‐19",2019,NA,0
"15‐19",2019,"Not Stated",0
"20‐24",2019,"1",205
"20‐24",2019,"2",125
"20‐24",2019,"3",40
"20‐24",2019,"4",3
"20‐24",2019,"5",0
"20‐24",2019,"6",0
"20‐24",2019,NA,0
"20‐24",2019,"Not Stated",0
"25‐29",2019,"1",149
"25‐29",2019,"2",135
"25‐29",2019,"3",80
"25‐29",2019,"4",18
"25‐29",2019,"5",5
"25‐29",2019,"6",1
"25‐29",2019,NA,0
"25‐29",2019,"Not Stated",0
"30‐34",2019,"1",58
"30‐34",2019,"2",139
"30‐34",2019,"3",79
"30‐34",2019,"4",37
"30‐34",2019,"5",10
"30‐34",2019,"6",5
"30‐34",2019,NA,1
"30‐34",2019,"Not Stated",0
"35‐39",2019,"1",27
"35‐39",2019,"2",57
"35‐39",2019,"3",65
"35‐39",2019,"4",30
"35‐39",2019,"5",14
"35‐39",2019,"6",7
"35‐39",2019,NA,5
"35‐39",2019,"Not Stated",0
"40‐44",2019,"1",5
"40‐44",2019,"2",10
"40‐44",2019,"3",28
"40‐44",2019,"4",14
"40‐44",2019,"5",7
"40‐44",2019,"6",2
"40‐44",2019,NA,3
"40‐44",2019,"Not Stated",0
"45+",2019,"1",0
"45+",2019,"2",2
"45+",2019,"3",0
"45+",2019,"4",0
"45+",2019,"5",1
"45+",2019,"6",0
"45+",2019,NA,1
"45+",2019,"Not Stated",0
"<15",2020,"1",4
"<15",2020,"2",0
"<15",2020,"3",0
"<15",2020,"4",0
"<15",2020,"5",0
"<15",2020,"6",0
"<15",2020,NA,0
"<15",2020,"Not Stated",0
"15‐19",2020,"1",169
"15‐19",2020,"2",19
"15‐19",2020,"3",1
"15‐19",2020,"4",0
"15‐19",2020,"5",0
"15‐19",2020,"6",0
"15‐19",2020,NA,0
"15‐19",2020,"Not Stated",0
"20‐24",2020,"1",234
"20‐24",2020,"2",106
"20‐24",2020,"3",29
"20‐24",2020,"4",8
"20‐24",2020,"5",0
"20‐24",2020,"6",0
"20‐24",2020,NA,0
"20‐24",2020,"Not Stated",0
"25‐29",2020,"1",139
"25‐29",2020,"2",165
"25‐29",2020,"3",65
"25‐29",2020,"4",17
"25‐29",2020,"5",6
"25‐29",2020,"6",0
"25‐29",2020,NA,0
"25‐29",2020,"Not Stated",0
"30‐34",2020,"1",76
"30‐34",2020,"2",141
"30‐34",2020,"3",74
"30‐34",2020,"4",29
"30‐34",2020,"5",7
"30‐34",2020,"6",1
"30‐34",2020,NA,3
"30‐34",2020,"Not Stated",0
"35‐39",2020,"1",25
"35‐39",2020,"2",62
"35‐39",2020,"3",56
"35‐39",2020,"4",34
"35‐39",2020,"5",12
"35‐39",2020,"6",3
"35‐39",2020,NA,1
"35‐39",2020,"Not Stated",0
"40‐44",2020,"1",6
"40‐44",2020,"2",19
"40‐44",2020,"3",13
"40‐44",2020,"4",16
"40‐44",2020,"5",5
"40‐44",2020,"6",4
"40‐44",2020,NA,1
"40‐44",2020,"Not Stated",0
"45+",2020,"1",0
"45+",2020,"2",0
"45+",2020,"3",2
"45+",2020,"4",1
"45+",2020,"5",1
"45+",2020,"6",0
"45+",2020,NA,0
"45+",2020,"Not Stated",0
"<15",2021,"1",5
"<15",2021,"2",0
"<15",2021,"3",0
"<15",2021,"4",0
"<15",2021,"5",0
"<15",2021,"6",0
"<15",2021,NA,0
"<15",2021,"Not Stated",0
"15-19",2021,"1",174
"15-19",2021,"2",33
"15-19",2021,"3",0
"15-19",2021,"4",0
"15-19",2021,"5",0
"15-19",2021,"6",0
"15-19",2021,NA,0
"15-19",2021,"Not Stated",0
"20-24",2021,"1",196
"20-24",2021,"2",149
"20-24",2021,"3",47
"20-24",2021,"4",6
"20-24",2021,"5",1
"20-24",2021,"6",1
"20-24",2021,NA,0
"20-24",2021,"Not Stated",0
"25-29",2021,"1",143
"25-29",2021,"2",186
"25-29",2021,"3",85
"25-29",2021,"4",40
"25-29",2021,"5",9
"25-29",2021,"6",1
"25-29",2021,NA,1
"25-29",2021,"Not Stated",0
"30-34",2021,"1",70
"30-34",2021,"2",108
"30-34",2021,"3",71
"30-34",2021,"4",42
"30-34",2021,"5",13
"30-34",2021,"6",4
"30-34",2021,NA,0
"30-34",2021,"Not Stated",0
"35-39",2021,"1",38
"35-39",2021,"2",68
"35-39",2021,"3",66
"35-39",2021,"4",25
"35-39",2021,"5",8
"35-39",2021,"6",6
"35-39",2021,NA,2
"35-39",2021,"Not Stated",0
"40-44",2021,"1",7
"40-44",2021,"2",16
"40-44",2021,"3",23
"40-44",2021,"4",12
"40-44",2021,"5",5
"40-44",2021,"6",0
"40-44",2021,NA,1
"40-44",2021,"Not Stated",0
"45+",2021,"1",0
"45+",2021,"2",0
"45+",2021,"3",0
"45+",2021,"4",1
"45+",2021,"5",1
"45+",2021,"6",0
"45+",2021,NA,0
"45+",2021,"Not Stated",0
"<15",2023,"1",14
"<15",2023,"2",1
"<15",2023,"3",0
"<15",2023,"4",0
"<15",2023,"5",0
"<15",2023,"6",0
"<15",2023,NA,0
"<15",2023,"Not Stated",0
"15-19",2023,"1",148
"15-19",2023,"2",28
"15-19",2023,"3",0
"15-19",2023,"4",0
"15-19",2023,"5",0
"15-19",2023,"6",0
"15-19",2023,NA,0
"15-19",2023,"Not Stated",0
"20-24",2023,"1",197
"20-24",2023,"2",142
"20-24",2023,"3",36
"20-24",2023,"4",3
"20-24",2023,"5",2
"20-24",2023,"6",0
"20-24",2023,NA,0
"20-24",2023,"Not Stated",0
"25-29",2023,"1",132
"25-29",2023,"2",160
"25-29",2023,"3",80
"25-29",2023,"4",24
"25-29",2023,"5",10
"25-29",2023,"6",1
"25-29",2023,NA,0
"25-29",2023,"Not Stated",0
"30-34",2023,"1",70
"30-34",2023,"2",125
"30-34",2023,"3",75
"30-34",2023,"4",31
"30-34",2023,"5",16
"30-34",2023,"6",3
"30-34",2023,NA,2
"30-34",2023,"Not Stated",0
"35-39",2023,"1",31
"35-39",2023,"2",60
"35-39",2023,"3",55
"35-39",2023,"4",28
"35-39",2023,"5",12
"35-39",2023,"6",2
"35-39",2023,NA,2
"35-39",2023,"Not Stated",0
"40-44",2023,"1",4
"40-44",2023,"2",24
"40-44",2023,"3",12
"40-44",2023,"4",8
"40-44",2023,"5",5
"40-44",2023,"6",4
"40-44",2023,NA,2
"40-44",2023,"Not Stated",0
"45+",2023,"1",0
"45+",2023,"2",2
"45+",2023,"3",2
"45+",2023,"4",0
"45+",2023,"5",0
"45+",2023,"6",0
"45+",2023,NA,0
"45+",2023,"Not Stated",0
"<15",2024,"1",3
"<15",2024,"2",0
"<15",2024,"3",0
"<15",2024,"4",0
"<15",2024,"5",0
"<15",2024,"6",0
"<15",2024,NA,0
"<15",2024,"Not Stated",0
"15-19",2024,"1",149
"15-19",2024,"2",20
"15-19",2024,"3",0
"15-19",2024,"4",0
"15-19",2024,"5",0
"15-19",2024,"6",0
"15-19",2024,NA,0
"15-19",2024,"Not Stated",0
"20-24",2024,"1",179
"20-24",2024,"2",119
"20-24",2024,"3",36
"20-24",2024,"4",4
"20-24",2024,"5",2
"20-24",2024,"6",0
"20-24",2024,NA,0
"20-24",2024,"Not Stated",NA
"25-29",2024,"1",95
"25-29",2024,"2",137
"25-29",2024,"3",71
"25-29",2024,"4",21
"25-29",2024,"5",4
"25-29",2024,"6",1
"25-29",2024,NA,0
"25-29",2024,"Not Stated",0
"30-34",2024,"1",64
"30-34",2024,"2",88
"30-34",2024,"3",89
"30-34",2024,"4",34
"30-34",2024,"5",19
"30-34",2024,"6",4
"30-34",2024,NA,3
"30-34",2024,"Not Stated",0
"35-39",2024,"1",14
"35-39",2024,"2",54
"35-39",2024,"3",41
"35-39",2024,"4",16
"35-39",2024,"5",10
"35-39",2024,"6",1
"35-39",2024,NA,2
"35-39",2024,"Not Stated",0
"40-44",2024,"1",5
"40-44",2024,"2",10
"40-44",2024,"3",15
"40-44",2024,"4",10
"40-44",2024,"5",5
"40-44",2024,"6",2
"40-44",2024,NA,2
"40-44",2024,"Not Stated",0
"45+",2024,"1",0
"45+",2024,"2",2
"45+",2024,"3",0
"45+",2024,"4",0
"45+",2024,"5",0
"45+",2024,"6",0
"45+",2024,NA,1
"45+",2024,"Not Stated",0
